Class,Age_midpoint,death_pc,Interval
'<1',0.5,0.000236128,1
'1-4',3,0.042030697,4
'5-9',7.5,0.054781582,5
'10-14',12.5,0.045808737,5
'15-19',17.5,0.016528926,5
'20-24',22.5,0.017591499,5
'25-29',27.5,0.025265643,5
'30-34',32.5,0.030578512,5
'35-39',37.5,0.0459268,5
'40-44',42.5,0.074144038,5
'45-49',47.5,0.098819362,5
'50-54',52.5,0.086658796,5
'55-59',57.5,0.115938607,5
'60-64',62.5,0.118063754,5
'65-69',67.5,0.092916175,5
'70-74',72.5,0.068004723,5
'75-79',77.5,0.038961039,5
'80-84',82.5,0.019480519,5
'85-89',87.5,0.008264463,5
