age_from,age_to,year,gender,value
0,0,2020,both,62.34900182
1,4,2020,both,62.34900182
5,9,2020,both,61.37551359
10,14,2020,both,57.43683992
15,19,2020,both,55.4839303
20,24,2020,both,51.56074291
25,29,2020,both,47.67136813
30,34,2020,both,43.78151099
35,39,2020,both,39.92231807
40,44,2020,both,36.11009043
45,49,2020,both,32.36547463
50,54,2020,both,28.66780509
55,59,2020,both,25.09103621
60,64,2020,both,21.46341204
65,69,2020,both,17.95764881
70,74,2020,both,15.02458152
75,79,2020,both,12.65796189
80,84,2020,both,11.01268887
85,89,2020,both,11.01268887
